id,region_id,tipo_delegacion_id,nomenclatura_id,num_delegacional,clave_delegacion,nivel_id,sede_delegacional,fecha_inicio_delegacional,fecha_final_delegacional,direccion_delegacional,cp_delegacional,ciudad_delegacional,estado_delegacional
302,6,2,4,01,D-IV-01,29,VERACRUZ,45427,45427,EMPTY,0,VERACRUZ,VERACRUZ
303,6,2,4,27,D-IV-27,29,BOCA DEL RIO,45427,45420,EMPTY,0,BOCA DEL RIO,VERACRUZ
304,6,2,4,30,D-IV-30,29,PIEDRAS NEGRAS,45427,45427,EMPTY,0,PIEDRAS NEGRAS,VERACRUZ
305,8,1,1,27,D-I-27,35,IXTACZOQUITLAN,44966,45331,"NORTE 2, EDIFICIO PARROQUIA 2° PISO DEPT. 4, COL. CENTRO",94300,ORIZABA,VERACRUZ
306,8,1,2,36,D-II-36,37,ORIZABA,43658,44754,EMPTY,0,ORIZABA,VERACRUZ
307,8,1,3,10,D-III-10,19,CIUDAD MENDOZA,44966,46062,EMPTY,0,CIUDAD MENDOZA,VERACRUZ
308,8,2,4,04,D-IV-04,29,CIUDAD MENDOZA,44967,46063,EMPTY,0,CIUDAD MENDOZA,VERACRUZ
309,9,1,1,70,D-I-70,35,TRES VALLES,45009,46105,"ESC. PRIM. ""18 DE MARZO"" CALLE:  BENITO JUÁREZ #102",95300,TRES VALLES,VERACRUZ
310,9,1,2,08,D-II-08,37,COSAMALOAPAN,44965,46061,EMPTY,0,COSAMALOAPAN,VERACRUZ
311,9,1,3,20,D-III-20,19,COSAMALOAPAN,45008,46104,AV MANUEL CARPIO S/N,95400,COSAMALOAPAN DE CARPIO,VERACRUZ
312,9,2,4,29,D-IV-29,29,TIERRA BLANCA,45427,45427,EMPTY,0,TIERRA BLANCA,VERACRUZ
313,9,2,4,34,D-IV-34,29,TLACOTALPAN,44994,46090,AV 5 DE MAYO 89,95460,TLACOTALPAN,VERACRUZ
314,11,1,1,13,D-I-13,35,COATZACOALCOS,45014,46110,"ZARAGOZA 404 ALTOS, COL. CENTRO",96400,COATZACOALCOS,VERACRUZ
315,11,1,2,11,D-II-11,36,COATZACOALCOS,44715,45811,EMPTY,0,COATZACOALCOS,VERACRUZ
316,11,1,2,39,D-II-39,40,ACAYUCAN,45427,45427,EMPTY,0,ACAYUCAN,VERACRUZ
317,11,2,4,20,D-IV-20,29,ACAYUCAN,44971,46067,EMPTY,0,ACAYUCAN,VERACRUZ
